MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4282903000,-122.0725281000,-28.20880042884346,0.013611529,0.1,238.64088,1593045253440,,,,
Fix,GT,37.4282902000,-122.0725281000,-28.209800720214844,0.020511672,0.1,238.64206,1593045254440,,,,
Fix,GT,37.4282895000,-122.0725289000,-28.2218017578125,0.47322106,0.1,238.31201,1593045255440,,,,
Fix,GT,37.4282826000,-122.0725375000,-28.208161869589333,1.5512872,0.1,233.01088,1593045256440,,,,
Fix,GT,37.4282717000,-122.0725548000,-28.189848679529632,2.3169348,0.1,233.92097,1593045257440,,,,
Fix,GT,37.4282673000,-122.0725841000,-28.239572153133963,3.0183043,0.1,255.60587,1593045258440,,,,
Fix,GT,37.4282774000,-122.0726213000,-28.183752391089456,4.058316,0.1,286.56152,1593045259440,,,,
Fix,GT,37.4283042000,-122.0726667000,-28.231305653235268,6.075042,0.1,306.06757,1593045260440,,,,
Fix,GT,37.4283392000,-122.0727336000,-28.313257121931258,7.9996066,0.1,301.27417,1593045261440,,,,
Fix,GT,37.4283688000,-122.0728241000,-28.40148572024526,9.257176,0.1,288.57315,1593045262440,,,,
Fix,GT,37.4283836000,-122.0729343000,-28.472438416005843,10.432119,0.1,275.88873,1593045263440,,,,
Fix,GT,37.4283872000,-122.0730581000,-28.441296039381882,11.476551,0.1,270.44656,1593045264440,,,,
Fix,GT,37.4283855000,-122.0731938000,-28.345666866142665,12.50405,0.1,268.81915,1593045265440,,,,
Fix,GT,37.4283830000,-122.0733396000,-28.184067649797385,13.318168,0.1,269.0686,1593045266440,,,,
Fix,GT,37.4283820000,-122.0734955000,-28.07406810625571,14.27623,0.1,269.52063,1593045267440,,,,
Fix,GT,37.4283813000,-122.0736616000,-28.020211111618778,14.9529505,0.1,269.7542,1593045268440,,,,
Fix,GT,37.4283808000,-122.0738303000,-28.074666959364322,14.8696995,0.1,269.82727,1593045269440,,,,
Fix,GT,37.4283803000,-122.0739986000,-28.19435343456871,15.067646,0.1,269.71838,1593045270440,,,,
Fix,GT,37.4283793000,-122.0741726000,-28.281847681191834,15.66316,0.1,269.51123,1593045271440,,,,
Fix,GT,37.4283783000,-122.0743511000,-28.360125325078116,15.9346695,0.1,269.64856,1593045272440,,,,
Fix,GT,37.4283776000,-122.0745339000,-28.488944203339088,16.4443,0.1,269.91336,1593045273440,,,,
Fix,GT,37.4283779000,-122.0747233000,-28.74872552599078,17.106218,0.1,270.33618,1593045274440,,,,
Fix,GT,37.4283794000,-122.0749200000,-29.153314395346058,17.699331,0.1,270.5685,1593045275440,,,,
Fix,GT,37.4283808000,-122.0751224000,-29.608097336204196,18.05284,0.1,270.36063,1593045276440,,,,
Fix,GT,37.4283817000,-122.0753266000,-29.932628958299688,18.045935,0.1,270.4042,1593045277440,,,,
Fix,GT,37.4283828000,-122.0755296000,-30.078390891985237,17.908596,0.1,270.3536,1593045278440,,,,
Fix,GT,37.4283835000,-122.0757315000,-30.131028607719713,17.802687,0.1,270.1668,1593045279440,,,,
Fix,GT,37.4283839000,-122.0759313000,-30.189076589110527,17.574022,0.1,270.28702,1593045280440,,,,
Fix,GT,37.4283833000,-122.0761286000,-30.2395721484844,17.342264,0.1,268.99368,1593045281440,,,,
Fix,GT,37.4283760000,-122.0763238000,-30.298715190242092,17.293053,0.1,265.49265,1593045282440,,,,
Fix,GT,37.4283564000,-122.0765178000,-30.255887381269247,17.319107,0.1,260.44946,1593045283440,,,,
Fix,GT,37.4283233000,-122.0767094000,-30.18734362617181,17.348907,0.1,255.84668,1593045284440,,,,
Fix,GT,37.4282803000,-122.0768964000,-30.131297470572918,17.047623,0.1,252.87886,1593045285440,,,,
Fix,GT,37.4282347000,-122.0770772000,-30.04875299759135,16.419611,0.1,252.26596,1593045286440,,,,
Fix,GT,37.4281915000,-122.0772486000,-30.01216188251908,15.427304,0.1,253.24771,1593045287440,,,,
Fix,GT,37.4281584000,-122.0774118000,-30.035848231246746,14.362766,0.1,258.0067,1593045288440,,,,
Fix,GT,37.4281391000,-122.0775651000,-30.093077820304416,13.051125,0.1,262.99884,1593045289440,,,,
Fix,GT,37.4281305000,-122.0777015000,-30.15884854786202,11.120743,0.1,266.67435,1593045290440,,,,
Fix,GT,37.4281276000,-122.0778137000,-30.23525807008184,8.708578,0.1,268.68103,1593045291440,,,,
